Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
45.00429,0.50242907,34.13618819191771,-83.81723989930633,0,1,7044.9375,-0.25472265,2,1,false,false,-15.10505,4.0728226,10.281593,2.322659,-0.28399825,3
45.060555,0.5026157,34.13618674915357,-83.81724792324351,0,1,7043.993,-0.24734265,2,1,false,false,-13.661627,4.134878,9.3454895,2.3181815,-0.25344205,3
45.117855,0.50280255,34.136185397731474,-83.81725583875176,0,1,7041.3364,-0.24472423,2,1,false,false,-12.253115,4.152519,8.828468,2.3142192,-0.2249637,3
45.17512,0.50298953,34.13618395496733,-83.81726386268896,0,1,7043.2534,-0.24639061,2,1,false,false,-11.874945,4.0038514,8.813923,2.310694,-0.20414498,3
45.230194,0.5031767,34.13618269268627,-83.81727188663132,0,1,7052.2812,-0.25281775,2,1,false,false,-11.0520735,3.8764782,8.54541,2.3074243,-0.19458976,3
45.283703,0.5033641,34.13618134016366,-83.81727980213957,0,1,7070.71,-0.2611489,2,1,false,false,-9.964241,3.7676034,7.7852383,2.3042226,-0.1957223,3
45.335617,0.50355166,34.1361800778826,-83.81728793450827,0,1,7099.339,-0.27067035,2,1,false,false,-9.670059,3.7122703,8.11212,2.3009014,-0.20841458,3
45.39013,0.50373936,34.13617881560154,-83.81729595844804,0,1,7129.9795,-0.2794775,2,1,false,false,-10.037017,3.8024073,8.606106,2.2973177,-0.22300896,3
45.443172,0.5039272,34.13617755442098,-83.81730398238781,0,1,7134.092,-0.28685656,2,1,false,false,-10.444537,3.72748,9.11275,2.2935028,-0.23698358,3
45.49704,0.5041152,34.13617638238146,-83.81731211475781,0,0.96744764,7130.161,-0.29137984,2,1,false,false,-10.642301,3.817185,9.341653,2.2894154,-0.2535466,3
45.551727,0.5043035,34.1361751201004,-83.81732013869758,0,0.9082613,7115.203,-0.29185578,2,1,false,false,-11.29468,3.8011565,10.087804,2.2850688,-0.2661154,3
45.60398,0.50449187,34.136174038302414,-83.81732827106887,0,0.7459928,7045.1743,-0.28780937,2,1,false,false,-11.884549,3.6469116,10.624282,2.2805529,-0.27377862,3
45.650658,0.5046804,34.13617286626289,-83.81733640344015,0,0.57731205,6922.5225,-0.27947742,2,1,false,false,-12.613864,3.0980136,11.2369175,2.275964,-0.27431047,3
45.682472,0.5048691,34.13617178446491,-83.81734453581144,0,0.5016029,6828.495,-0.26757595,2,1,false,false,-13.098941,2.0326982,11.2376795,2.2714112,-0.26968008,3
45.693718,0.5050579,34.13617070266693,-83.81735266818144,0.0076254024,0.35659683,6795.585,-0.25400814,2,1,false,false,-13.283703,0.7341902,11.240276,2.266988,-0.25862738,3
45.682636,0.5052465,34.13616971111049,-83.81736080055272,0.02347194,0.22885333,6801.0195,-0.2361547,2,1,false,false,-13.196184,-0.57134604,11.420385,2.262798,-0.24223034,3
45.64868,0.5054351,34.13616862931251,-83.81736904135552,0.04336948,0.17558567,6843.317,-0.21687418,2,1,false,false,-13.033634,-2.0596485,11.723381,2.258898,-0.2237631,3
45.60336,0.50562346,34.1361677268971,-83.81737717372681,0.091504835,0.09371145,6845.582,-0.19854468,2,1,false,false,-12.618386,-2.2231243,11.816001,2.2553227,-0.2053106,3
45.545025,0.50581163,34.13616673534066,-83.8173853060981,0.1249851,0.037977807,6794.4023,-0.1797374,2,1,false,false,-12.192737,-3.4132116,12.097645,2.2520163,-0.19109489,3
